CHROM	no_samples	no_records	no_SNPs	no_MNPs	no_indels	no_others	no_multiallelic_sites	no_nultiallelic_SNPs	ts	tv	tstv
NC_009144_3	549	2468923	2266725	0	202198	0	50151	14048	1518511	762263	1.99
NC_009145_3	549	1628226	1491296	0	136930	0	33280	9016	1008787	491525	2.05
NC_009146_3	549	1567568	1437101	0	130467	0	31018	8258	964187	481172	2
NC_009147_3	549	1477003	1354794	0	122209	0	29134	8090	899644	463240	1.94
NC_009148_3	549	1249248	1145400	0	103848	0	25634	7012	765685	386730	1.98
NC_009149_3	549	1179892	1080241	0	99651	0	24367	6325	729336	357230	2.04
NC_009150_3	549	1326908	1216504	0	110404	0	27522	7470	815094	408881	1.99
NC_009151_3	549	1377101	1269076	0	108025	0	27927	9166	851414	426828	1.99
NC_009152_3	549	1077372	988388	0	88984	0	21170	5874	654081	340181	1.92
NC_009153_3	549	1162753	1062569	0	100184	0	24932	6592	712249	356912	2
NC_009154_3	549	802912	735904	0	67008	0	17863	5238	506655	234487	2.16
NC_009155_3	549	798277	743437	0	54840	0	19339	10099	475623	277913	1.71
NC_009156_3	549	678305	621988	0	56317	0	15350	4681	429661	197009	2.18
NC_009157_3	549	1197562	1097121	0	100441	0	23542	6090	738436	364775	2.02
NC_009158_3	549	1231963	1132274	0	99689	0	25070	7358	756431	383201	1.97
NC_009159_3	549	1137811	1042268	0	95543	0	22959	5541	708367	339443	2.09
NC_009160_3	549	1097266	1004699	0	92567	0	21623	5755	664552	345902	1.92
NC_009161_3	549	1130644	1035278	0	95366	0	23031	6306	684540	357044	1.92
NC_009162_3	549	878643	806022	0	72621	0	17552	5056	533266	277812	1.92
NC_009163_3	549	1277519	1189534	0	87985	0	43241	28638	779855	438321	1.78
NC_009164_3	549	837690	770810	0	66880	0	16943	5490	510373	265927	1.92
NC_009165_3	549	682652	626827	0	55825	0	13952	3800	433299	197328	2.2
NC_009166_3	549	736632	675358	0	61274	0	15028	4065	450231	229192	1.96
NC_009167_3	549	662825	607844	0	54981	0	14006	4045	409859	202030	2.03
NC_009168_3	549	533843	490392	0	43451	0	10876	2951	334366	158977	2.1
NC_009169_3	549	666281	614323	0	51958	0	13953	5077	396222	223178	1.78
NC_009170_3	549	617106	566538	0	50568	0	12651	3970	374023	196485	1.9
NC_009171_3	549	662231	609408	0	52823	0	13789	4437	408073	205772	1.98
NC_009172_3	549	543326	499582	0	43744	0	11555	4044	327015	176611	1.85
NC_009173_3	549	460790	421302	0	39488	0	9911	2868	282236	141934	1.99
NC_009174_3	549	372476	341673	0	30803	0	7778	2255	231881	112047	2.07
NC_009175_3	549	1592124	1465752	0	126372	0	34785	8877	933090	541539	1.72
