IB_EC3 ID	Breed
M10638	Arabian
M10647	Quarter Horse
M10648	Arabian
M10649	Arabian
M7572	Quarter Horse
M8679	Standardbred
M8738	Standardbred
M6117	Standardbred
M6138	Standardbred
M6137	Standardbred
M10639	Arabian
M10652	Quarter Horse
M10653	Quarter Horse
M10656	Sports Horse
M10657	Sports Horse
M10658	Arabian
M10659	Quarter Horse
M10640	Arabian
M10661	Arabian
M10662	Warmblood
M10663	Warmblood
M10664	Standardbred
M10665	Paint
M10666	QH
M10641	Arabian
M10642	Arabian
M10643	Quarter Horse
M10644	Quarter Horse
M10645	Quarter Horse
M10646	QH
A1543	Quarter Horse
A2068	Quarter Horse
A2071	Quarter Horse
A2085	Quarter Horse
A4416	Belgian
A5659	Quarter Horse
A5964	Quarter Horse
ADM9	Thoroughbred
ADR419	Thoroughbred
ADR420	Thoroughbred
ADR421	Thoroughbred
ADR422	Thoroughbred
ADR423	Thoroughbred
ADR424	Thoroughbred
ADR425	Thoroughbred
ARAB0132A	Arabian
ARAB0016A	Arabian
ARAB0133A	Arabian
ARAB0134A	Arabian
ARAB0017A	Arabian
ARAB0018A	Arabian
ARAB0135A	Arabian
ARAB0136A	Arabian
ARAB0019A	Arabian
ARAB0020A	Arabian
ARAB0141A	Arabian
ARAB0034A	Arabian
ARAB0035A	Arabian
ARAB0036A	Arabian
BAVA0183A	British Warmblood
BROOKS1032	Unknown
BROOKS2174	Arabian
BROOKS3147	Miniature Horse
BROOKS3148	Percheron
BW01	British Warmblood
CLDB65664	ColdBlood
CLDB65665	ColdBlood
CLDB65666	ColdBlood
CON15	Connemara
CON26	Connemara
CON3	Connemara
CON40	Connemara
CUTR0137A	Curly Trotter
CUTR0138A	Curly Trotter
M8457	Thoroughbred
M8466	Thoroughbred
M8461	Thoroughbred
M8458	Thoroughbred
M8465	Thoroughbred
M8464	Thoroughbred
M8463	Thoroughbred
M8459	Thoroughbred
M8467	Thoroughbred
M8460	Thoroughbred
M6337	Morgan
M6449	Morgan
M6462	Morgan
M6468	Morgan
M6482	Morgan
M6536	Morgan
M6539	Morgan
M6558	Morgan
M6572	Welsh Pony
M6576	Welsh Pony
M6577	Welsh Pony
M6579	Welsh Pony
M6598	Morgan
M6682	Morgan
M6252	Morgan
M6253	Morgan
M6798	Morgan
M6807	Morgan
M6813	Morgan
M6212	Morgan
M6294	Morgan
M6296	Morgan
FJOR0142A	Norwegian Fjord
FRMO0041A	Franchese Montagne
FRMO0042A	Franchese Montagne
FRMO0043A	Franchese Montagne
FRMO0044A	Franchese Montagne
FRMO0045A	Franchese Montagne
FRMO0046A	Franchese Montagne
FRMO0047A	Franchese Montagne
FRMO0048A	Franchese Montagne
FRMO0049A	Franchese Montagne
FRMO0050A	Franchese Montagne
FRMO0051A	Franchese Montagne
FRMO0052A	Franchese Montagne
FRMO0053A	Franchese Montagne
FRMO0054A	Franchese Montagne
FRMO0055A	Franchese Montagne
FRMO0056A	Franchese Montagne
FRMO0057A	Franchese Montagne
FRMO0058A	Franchese Montagne
FRMO0059A	Franchese Montagne
FRMO0060A	Franchese Montagne
FRMO0061A	Franchese Montagne
FRMO0062A	Franchese Montagne
FRMO0063A	Franchese Montagne
FRMO0064A	Franchese Montagne
FRMO0065A	Franchese Montagne
FRMO0066A	Franchese Montagne
FRMO0067A	Franchese Montagne
FRMO0068A	Franchese Montagne
FRMO0037A	Franchese Montagne
FRMO0069A	Franchese Montagne
HAFL0015A	Halflinger
HANO0172A	Hanovarian
HF13B	Haflinger
HF13C	Haflinger
HF13D	Haflinger
HF14A	Haflinger
HF14C	Haflinger
HF15A	Haflinger
HOLS0173A	Holsteiner
HOLS0174A	Holsteiner
HOLS0175A	Holsteiner
