CHROM	no_samples	no_records	no_SNPs	no_MNPs	no_indels	no_others	no_multiallelic_sites	no_nultiallelic_SNPs	ts	tv	tstv
NC_009144_3	549	2953399	2611363	0	342036	14018	121137	62344	1702414	931840	1.83
NC_009145_3	549	1930009	1705363	0	224646	9814	80854	41741	1121517	599081	1.87
NC_009146_3	549	1844282	1631229	0	213053	9098	73994	36933	1064680	579350	1.84
NC_009147_3	549	1752960	1550562	0	202398	8120	69041	34595	1004647	558433	1.8
NC_009148_3	549	1498058	1321637	0	176421	7078	62982	32802	859408	473986	1.81
NC_009149_3	549	1398236	1231569	0	166667	7703	59303	29777	808904	432634	1.87
NC_009150_3	549	1588282	1400626	0	187656	8598	67888	35332	911964	500635	1.82
NC_009151_3	549	1648820	1463896	0	184924	8705	71802	39957	954457	525209	1.82
NC_009152_3	549	1284002	1136587	0	147415	5935	50965	26154	731248	415082	1.76
NC_009153_3	549	1389779	1224649	0	165130	7766	61829	32301	797986	437349	1.82
NC_009154_3	549	967468	847411	0	120057	5619	45783	23982	564992	290637	1.94
NC_009155_3	549	975876	864532	0	111344	6798	57630	39491	540377	340836	1.59
NC_009156_3	549	809278	717315	0	91963	5957	41123	23548	479139	246410	1.94
NC_009157_3	549	1420586	1253998	0	166588	6323	55899	27481	821345	442321	1.86
NC_009158_3	549	1463165	1294218	0	168947	7206	60376	31457	842216	463353	1.82
NC_009159_3	549	1345059	1187759	0	157300	6611	53692	25710	785427	410957	1.91
NC_009160_3	549	1289888	1140515	0	149373	5950	49762	24316	736676	412316	1.79
NC_009161_3	549	1333579	1179304	0	154275	6571	52870	25967	761706	426984	1.78
NC_009162_3	549	1043974	924247	0	119727	4940	41843	21536	596388	335986	1.78
NC_009163_3	549	1523552	1346528	0	177024	10675	113411	82650	865759	522937	1.66
NC_009164_3	549	986141	876638	0	109503	4530	39664	21166	566784	318175	1.78
NC_009165_3	549	799485	708279	0	91206	4494	33435	17188	475630	238381	2
NC_009166_3	549	881248	778628	0	102620	4296	36196	18470	505728	279592	1.81
NC_009167_3	549	791320	700817	0	90503	4331	34434	18347	459109	248335	1.85
NC_009168_3	549	630765	558741	0	72024	3624	27046	14158	369595	193769	1.91
NC_009169_3	549	780635	698169	0	82466	3635	33038	19232	439647	267111	1.65
NC_009170_3	549	722420	641879	0	80541	3586	29192	15480	413821	234158	1.77
NC_009171_3	549	778298	691266	0	87032	4408	34370	19150	449871	248656	1.81
NC_009172_3	549	652799	581970	0	70829	3241	28478	16216	370718	218291	1.7
NC_009173_3	549	532798	472141	0	60657	2944	22671	11773	308424	167812	1.84
NC_009174_3	549	432965	384435	0	48530	2379	18688	9531	253532	134468	1.89
NC_009175_3	549	2086164	1799645	0	286519	11569	97398	54726	1115669	703269	1.59
