CHROM	no_samples	no_records	no_SNPs	no_MNPs	no_indels	no_others	no_multiallelic_sites	no_nultiallelic_SNPs	ts	tv	tstv
NC_009144_3_union_joint	549	3093510	2707916	0	385594	14018	142779	63964	1762398	970286	1.82
NC_009145_3_union_joint	549	2019121	1764066	0	255055	9814	95519	42658	1158408	621974	1.86
NC_009146_3_union_joint	549	1929688	1688235	0	241453	9098	87343	37709	1101054	600889	1.83
NC_009147_3_union_joint	549	1826550	1599357	0	227193	8120	81242	35300	1034928	577756	1.79
NC_009148_3_union_joint	549	1568504	1369785	0	198719	7078	74198	33630	889502	493035	1.8
NC_009149_3_union_joint	549	1468414	1279344	0	189070	7703	70116	30479	838884	451249	1.86
NC_009150_3_union_joint	549	1672600	1458957	0	213643	8598	80183	36284	947827	524227	1.81
NC_009151_3_union_joint	549	1731345	1522051	0	209294	8705	83743	41260	990168	549183	1.8
NC_009152_3_union_joint	549	1344109	1178183	0	165926	5935	60057	26904	756812	431971	1.75
NC_009153_3_union_joint	549	1462107	1274143	0	187964	7766	72798	33082	828753	457035	1.81
NC_009154_3_union_joint	549	1026674	889962	0	136712	5619	53746	24785	592202	306924	1.93
NC_009155_3_union_joint	549	1045473	920514	0	124959	6798	64664	41254	573890	365418	1.57
NC_009156_3_union_joint	549	858673	752141	0	106532	5957	48115	24410	501089	260345	1.92
NC_009157_3_union_joint	549	1483948	1296309	0	187639	6323	66138	28017	848041	458556	1.85
NC_009158_3_union_joint	549	1532710	1342057	0	190653	7206	71044	32286	872053	482329	1.81
NC_009159_3_union_joint	549	1405325	1226935	0	178390	6611	63903	26207	810356	425789	1.9
NC_009160_3_union_joint	549	1339691	1171929	0	167762	5950	58988	24778	756342	424597	1.78
NC_009161_3_union_joint	549	1386685	1213039	0	173646	6571	62561	26522	782696	440376	1.78
NC_009162_3_union_joint	549	1087878	953475	0	134403	4940	49086	21975	614594	347509	1.77
NC_009163_3_union_joint	549	1627844	1431442	0	196402	10675	128605	89619	917567	564168	1.63
NC_009164_3_union_joint	549	1028478	905282	0	123196	4530	46452	21607	584674	329454	1.77
NC_009165_3_union_joint	549	840010	735639	0	104371	4494	39652	17575	493167	248666	1.98
NC_009166_3_union_joint	549	921129	805348	0	115781	4296	42651	18860	522553	289933	1.8
NC_009167_3_union_joint	549	831022	727689	0	103333	4331	40483	18768	475790	259021	1.84
NC_009168_3_union_joint	549	666462	583842	0	82620	3624	32016	14597	385270	203710	1.89
NC_009169_3_union_joint	549	815302	722045	0	93257	3635	38523	19888	453896	277504	1.64
NC_009170_3_union_joint	549	751325	660701	0	90624	3586	34146	15789	425526	241628	1.76
NC_009171_3_union_joint	549	821960	722783	0	99177	4408	40446	19911	468867	262072	1.79
NC_009172_3_union_joint	549	678511	598612	0	79899	3241	32992	16493	381014	224973	1.69
NC_009173_3_union_joint	549	558605	489270	0	69335	2944	26827	12013	319267	174376	1.83
NC_009174_3_union_joint	549	452290	396984	0	55306	2379	22035	9854	261271	139677	1.87
NC_009175_3_union_joint	549	2236363	1915846	0	320517	11569	114202	56912	1187444	750299	1.58
