CHROM	no_samples	no_records	no_SNPs	no_MNPs	no_indels	no_others	no_multiallelic_sites	no_nultiallelic_SNPs	ts	tv	tstv	chrom_length_mb	chrom_length
NC_009144_3_intersect_joint	549	2328812	2170172	0	158640	7940	82665	42018	1461091	729748	2	188.26	188260000
NC_009145_3_intersect_joint	549	1539114	1432593	0	106521	5592	54804	27458	973399	472194	2.06	121.35	121350000
NC_009146_3_intersect_joint	549	1482160	1380095	0	102065	5127	50683	24817	929018	462450	2.01	121.35	121350000
NC_009147_3_intersect_joint	549	1403413	1305999	0	97414	4713	47508	23480	870492	446652	1.95	109.46	109460000
NC_009148_3_intersect_joint	549	1178802	1097252	0	81550	4023	42578	21752	736920	370732	1.99	96.76	96760000
NC_009149_3_intersect_joint	549	1109714	1032466	0	77248	4323	40284	19833	700384	340991	2.05	87.23	87230000
NC_009150_3_intersect_joint	549	1242590	1158173	0	84417	4662	45449	23193	780595	388371	2.01	100.79	100790000
NC_009151_3_intersect_joint	549	1294576	1210921	0	83655	4479	48840	27387	817589	407348	2.01	97.56	97560000
NC_009152_3_intersect_joint	549	1017265	946792	0	70473	3376	35184	17701	629611	325808	1.93	85.79	85790000
NC_009153_3_intersect_joint	549	1090425	1013075	0	77350	4150	41911	21355	682629	339963	2.01	85.16	85160000
NC_009154_3_intersect_joint	549	743705	693353	0	50352	2980	30281	16051	480411	220532	2.18	61.68	61680000
NC_009155_3_intersect_joint	549	728680	687455	0	41225	2708	39311	28783	444602	258503	1.72	36.99	36990000
NC_009156_3_intersect_joint	549	628910	587162	0	41748	2956	27384	15516	408750	185577	2.2	43.78	43780000
NC_009157_3_intersect_joint	549	1134200	1054810	0	79390	3771	38261	18295	712671	350707	2.03	94.6	94600000
NC_009158_3_intersect_joint	549	1162418	1084435	0	77983	4012	41649	21610	727817	366991	1.98	92.85	92850000
NC_009159_3_intersect_joint	549	1077544	1003092	0	74452	3928	36497	16879	684239	326499	2.1	88.96	88960000
NC_009160_3_intersect_joint	549	1047463	973285	0	74178	3466	34761	16617	645653	335389	1.93	80.72	80720000
NC_009161_3_intersect_joint	549	1077538	1001543	0	75995	3822	36940	17914	664492	345665	1.92	82.64	82640000
NC_009162_3_intersect_joint	549	834739	776794	0	57945	2835	29417	15022	515951	268199	1.92	62.68	62680000
NC_009163_3_intersect_joint	549	1173227	1104620	0	68607	3975	84844	67495	734887	412090	1.78	65.34	65340000
NC_009164_3_intersect_joint	549	795353	742166	0	53187	2495	28372	15251	493277	256536	1.92	58.98	58980000
NC_009165_3_intersect_joint	549	642127	599467	0	42660	2426	22765	11477	416300	188363	2.21	50.93	50930000
NC_009166_3_intersect_joint	549	696751	648638	0	48113	2477	24923	12639	434074	220489	1.97	55.56	55560000
NC_009167_3_intersect_joint	549	623123	580972	0	42151	2385	23750	12534	393913	193000	2.04	48.29	48290000
NC_009168_3_intersect_joint	549	498146	465291	0	32855	1940	18130	9374	319215	150290	2.12	40.28	40280000
NC_009169_3_intersect_joint	549	631614	590447	0	41167	2020	23975	14030	383055	215216	1.78	43.15	43150000
NC_009170_3_intersect_joint	549	588201	547716	0	40485	1975	21045	11140	362881	190421	1.91	40.25	40250000
NC_009171_3_intersect_joint	549	618569	577891	0	40678	2287	23793	13303	390005	194551	2	47.35	47350000
NC_009172_3_intersect_joint	549	517614	482940	0	34674	1807	20510	11751	317542	171779	1.85	34.78	34780000
NC_009173_3_intersect_joint	549	434983	404173	0	30810	1685	16230	8209	271747	136226	1.99	31.4	31400000
NC_009174_3_intersect_joint	549	353151	329124	0	24027	1306	13036	6689	224555	107812	2.08	26	26000000
NC_009175_3_intersect_joint	549	1441925	1349551	0	92374	5355	62338	34747	864289	500581	1.73	128.21	128210000
													
													
